feature,pred_0,pred_1
REALPROP,0.0,0.0
FSASSET,-0.02,0.02
FSSSI,0.01,-0.01
FSNELDER,0.0,-0.0
TANF_IND,0.02,-0.02
FSUSIZE,-0.01,0.01
FSEARN,-0.01,0.01
FSWAGES,-0.01,0.01
RAWNET,-0.01,0.01
FSSLTDE2,-0.01,0.01
FSSTDDE2,0.03,-0.03
FSTOTDED,0.02,-0.02
FSNONCIT,0.03,-0.03
FSSLTDED,0.09,-0.09
WRK_POOR,-0.01,0.01
LIQRESOR,-0.03,0.03
RAWERND,-0.01,0.01
TPOV,0.0,-0.0
FSGRINC,-0.0,0.0
HWGT,0.02,-0.02
FSERNDED,-0.01,0.01
FSTOTDE2,0.0,-0.0
CERTHHSZ,-0.02,0.02
FSERNDE2,-0.01,0.01
FSNETINC,-0.0,0.0
FSDIS,0.0,-0.0
FSGA,0.0,-0.0
SHELDED,0.16,-0.16
FSTANF,0.02,-0.02
FSUNEARN,0.02,-0.02
VEHICLEA,-0.01,0.01
FSVEHAST,0.0,0.0
