state,FSSLTDED,SHELDED,HWGT,FSNONCIT,FSSTDDE2,LIQRESOR,FSUNEARN,FSASSET,TPOV,FSTANF,FSTOTDED,TANF_IND,CERTHHSZ,FSSSI,FSERNDED
Alabama,211,224,3826,0,169,0,463,0,59,3,477,0,2,124,70
Alaska,255,252,834,0,222,154,537,154,52,55,637,0,2,82,88
Arizona,194,194,5353,0,140,0,362,0,54,3,471,0,2,83,91
Arkansas,132,129,1807,0,162,92,498,115,56,1,377,0,2,178,61
California,330,314,29938,0,125,0,333,0,52,98,592,0,2,0,87
Colorado,340,341,3335,0,152,0,474,0,59,27,592,0,2,108,69
Connecticut,500,510,3138,0,128,0,581,0,69,27,737,0,1,139,56
Delaware,237,222,1218,0,157,0,494,0,69,11,513,0,2,120,89
District of Columbia,260,235,865,0,129,0,436,0,50,63,470,0,1,138,40
Florida,311,309,19742,0,165,0,499,0,67,5,572,0,1,143,78
Georgia,225,223,8391,0,146,0,461,0,56,1,481,0,2,120,62
Guam,80,245,429,0,257,0,172,0,53,8,600,0,3,0,154
Hawaii,120,115,1546,0,222,0,546,0,58,30,434,0,1,132,69
Idaho,227,330,842,0,171,42,476,63,62,3,514,0,2,145,86
Illinois,257,247,13933,0,139,0,428,0,59,5,518,0,1,119,71
Indiana,258,246,3627,0,170,32,485,32,61,1,520,0,2,151,75
Iowa,223,222,2131,0,163,1,482,1,68,14,510,0,2,118,95
Kansas,276,263,1307,0,174,147,485,152,62,8,551,0,2,159,77
Kentucky,163,156,3318,0,154,0,474,0,52,10,399,0,2,168,56
Louisiana,213,208,6281,0,153,82,430,82,51,1,449,0,2,162,51
Maine,416,415,1119,0,184,217,703,261,80,26,655,0,1,161,65
Maryland,259,261,5320,0,152,0,507,0,66,28,554,0,1,104,76
Massachusetts,457,473,5550,0,140,0,633,0,72,29,719,0,1,174,52
Michigan,365,358,9548,0,144,28,513,28,67,6,639,0,1,150,74
Minnesota,308,302,2545,0,166,0,580,0,75,0,583,0,1,182,85
Mississippi,162,161,2780,0,148,0,428,0,51,3,414,0,2,110,63
Missouri,259,250,4369,0,160,128,501,129,59,5,525,0,2,144,58
Montana,319,308,904,0,161,0,480,0,67,37,595,0,2,101,89
Nebraska,289,286,1040,0,163,63,494,64,63,19,569,0,2,122,87
Nevada,194,183,2964,0,141,0,388,0,57,12,454,0,1,96,79
New Hampshire,383,382,823,0,167,130,707,134,77,42,632,0,1,172,63
New Jersey,380,381,6210,0,169,0,595,0,75,6,649,0,1,164,81
New Mexico,200,199,2689,0,152,0,395,0,56,17,457,0,2,107,77
New York,505,514,20324,0,147,0,639,0,73,32,770,0,1,126,68
North Carolina,259,251,7051,0,154,0,437,0,66,3,548,0,2,103,97
North Dakota,343,335,641,0,150,0,496,0,65,14,646,0,2,107,74
Ohio,306,301,8730,0,164,0,564,0,68,13,554,0,1,161,68
Oklahoma,192,188,3068,0,150,0,398,0,52,3,441,0,2,123,66
Oregon,304,304,4860,0,145,0,488,0,63,20,561,0,1,107,63
Pennsylvania,413,415,14056,0,155,0,566,0,72,12,672,0,1,151,74
Rhode Island,452,464,1546,0,152,0,609,0,73,22,697,0,1,167,56
South Carolina,189,186,3592,0,152,0,471,0,57,7,455,0,2,100,63
South Dakota,348,347,676,0,132,253,445,286,56,30,623,0,2,68,72
Tennessee,160,158,5409,0,146,137,431,137,51,5,391,0,1,133,48
Texas,250,250,22052,0,170,0,435,0,63,3,540,0,2,131,93
Utah,244,234,1031,0,159,212,428,214,58,14,528,0,2,117,94
Vermont,648,650,717,0,145,0,749,0,84,37,918,0,1,148,58
Virgin Islands,68,60,702,0,126,0,271,0,47,6,341,0,2,0,80
Virginia,195,191,5276,0,169,161,524,161,60,14,448,0,2,161,58
Washington,304,306,7074,0,139,0,457,0,62,18,562,0,1,53,72
West Virginia,220,231,2279,0,155,0,529,0,60,3,448,0,1,155,54
Wisconsin,281,275,4038,0,165,0,558,0,74,10,571,0,2,138,91
Wyoming,254,254,497,0,165,168,460,187,62,2,557,0,2,105,86
